번호,원본 키워드,원본 레이어,필요충분조건 키워드,NSC 레이어,검증 키워드,최소 매칭 수
172,쓰러진 볼라드,L2,차단 안 돼 넘어가는 차량,L4,fallen bollard|toppled bollard|bollard|damaged,1
173,반사띠 벗겨진 볼라드,L2,야간에 충돌하는 차량,L4,bollard with peeling reflective tape|worn bollard reflector|bollard|damaged,1
174,녹슨 볼라드,L2,강도 저하로 기능 못하는 차단 구간,L4,rusted bollard|corroded bollard|bollard|damaged,1
175,일부 결번된 볼라드,L2,빈틈으로 차도 진입하는 차량,L4,missing bollard in sequence|gap in bollard line|bollard|damaged,1
176,기울어진 볼라드,L2,기울어진 볼라드에 부딪혀 넘어지는 보행자,L4,tilted bollard|leaning bollard|bollard|damaged,1
177,야간 식별 어려운 볼라드,L2,야간에 충돌하는 이륜차,L4,bollard hard to see at night|poor night visibility bollard|bollard|damaged,1
178,파손된 볼라드 상부,L2,날카로운 파편에 다치는 보행자,L4,bollard with damaged top|broken bollard head|bollard|damaged,1
179,고정판 깨진 볼라드,L2,흔들리다 쓰러지는 볼라드,L4,bollard with cracked base plate|broken bollard mounting plate|bollard|damaged,1
180,간격 불규칙한 볼라드,L2,틈새로 차도 진입하는 차량,L4,irregularly spaced bollards|uneven bollard spacing|bollard|damaged,1
181,오작동하는 과속단속 카메라,L2,단속 안 될 것으로 오판해 과속하는 차량,L4,malfunctioning speed camera|faulty enforcement camera|traffic camera|CCTV|camera|cctv|damaged,1
182,렌즈 파손된 CCTV,L2,감시 사각지대 인지하고 위반하는 차량,L4,CCTV with broken lens|damaged CCTV camera lens|traffic camera|CCTV|camera|cctv|damaged,1
183,방향 틀어진 교통 카메라,L2,단속 회피 가능하다 오판하는 차량,L4,misaligned traffic camera|traffic camera facing wrong direction|traffic camera|CCTV|camera|cctv|damaged,1
184,전원 꺼진 CCTV,L2,감시 없다 오판하고 위반하는 차량,L4,CCTV powered off|CCTV camera without power|traffic camera|CCTV|camera|cctv|damaged,1
185,가지에 가려진 단속 카메라,L2,단속 못 볼 것으로 오판하는 차량,L4,enforcement camera obscured by branches|tree blocking traffic camera|traffic camera|CCTV|camera|cctv|damaged,1
186,녹화 중단된 CCTV,L2,증거 없다 오판하고 위반하는 차량,L4,CCTV recording stopped|non-recording CCTV camera|traffic camera|CCTV|camera|cctv|damaged,1
187,각도 어긋난 신호위반 카메라,L2,단속 사각 노려 신호위반하는 차량,L4,misaligned red light camera|wrong angle traffic signal camera|traffic camera|CCTV|camera|cctv|damaged,1
188,빗물 맺힌 CCTV 렌즈,L2,단속 불가 오판하고 과속하는 차량,L4,CCTV lens covered with raindrops|rain obscured camera lens|traffic camera|CCTV|camera|cctv|damaged,1
189,배선 노출된 교통 카메라,L2,오작동 우려로 무시하는 차량,L4,traffic camera with exposed wiring|traffic camera exposed cables|traffic camera|CCTV|camera|cctv|damaged,1
190,작동 표시등 꺼진 단속 카메라,L2,미작동으로 오판하고 위반하는 차량,L4,enforcement camera with indicator light off|traffic camera status light off|traffic camera|CCTV|camera|cctv|damaged,1
191,꺼진 터널 조명,L2,시야 확보 못해 서행하는 차량,L4,tunnel lighting off|unlit tunnel lights|tunnel|damaged,1
192,점멸하는 터널 조명,L2,눈부심에 시야 방해받는 운전자,L4,flickering tunnel lights|blinking tunnel lighting|tunnel|damaged,1
193,그을린 터널 벽면,L2,화재 흔적 보고 불안해하는 운전자,L4,scorched tunnel wall|soot stained tunnel wall|tunnel|damaged,1
194,배기 불량 터널 구간,L2,매연으로 시야 흐려지는 운전자,L4,tunnel section with poor ventilation|inadequate tunnel exhaust|tunnel|damaged,1
195,누수 흔적 있는 터널 천장,L2,낙수 피해 급조향하는 차량,L4,tunnel ceiling with water leakage marks|leaking tunnel ceiling|tunnel|damaged,1
196,조도 약해진 터널 진입부,L2,명암 적응 못해 서행하는 차량,L4,dim tunnel entrance lighting|weak illumination at tunnel entrance|tunnel|damaged,1
197,경고등 고장난 터널 입구,L2,위험 인지 못하고 진입하는 차량,L4,tunnel entrance with broken warning light|faulty tunnel entrance beacon|tunnel|damaged,1
198,빗물 고인 터널 바닥,L2,터널 바닥 수막현상에 미끄러지는 차량,L4,tunnel floor with standing water|flooded tunnel floor|tunnel|damaged,1
199,반사판 오염된 터널 벽,L2,경계 인지 못하고 근접 주행하는 차량,L4,tunnel wall with dirty reflective panel|soiled tunnel reflector panel|tunnel|damaged,1
200,환기팬 정지된 터널 구간,L2,매연 축적으로 시야 저하되는 운전자,L4,tunnel section with stopped ventilation fan|tunnel with non-operating exhaust fan|tunnel|damaged,1
201,표시 없는 공사 구간 진입로,L3,예고 없이 감속 못하고 진입하는 차량,L4,unmarked construction zone entrance|work zone without warning sign|construction warning sign|work zone sign|sign|warning,1
202,야간 반사판 탈락된 공사 안내판,L3,야간에 안내판 못 보고 진입하는 차량,L4,construction sign missing night reflector|warning sign reflector detached|construction warning sign|work zone sign|sign|warning,1
203,쓰러진 공사 경고 표지판,L3,경고 인지 못하고 진입하는 차량,L4,fallen construction warning sign|toppled work zone sign|construction warning sign|work zone sign|sign|warning,1
204,방향 오표기된 우회 안내판,L3,잘못된 경로로 진입하는 차량,L4,construction sign with wrong direction|mislabeled work zone sign|construction warning sign|work zone sign|sign|warning,1
205,바람에 날아간 임시 안내 표지,L3,안내 없이 혼란스러워하는 차량,L4,temporary sign blown away|wind displaced warning sign|construction warning sign|work zone sign|sign|warning,1
206,회수 안 된 철거 대상 공사표지판,L3,이미 끝난 공사로 오인하는 차량,L4,leftover construction sign not removed|outdated work zone sign|construction warning sign|work zone sign|sign|warning,1
207,낙서로 훼손된 공사 안내판,L3,안내 내용 오독하는 차량,L4,construction sign vandalized with graffiti|graffiti damaged warning sign|construction warning sign|work zone sign|sign|warning,1
208,빛바래 글자 안 보이는 공사표지판,L3,안내 내용 못 읽고 진입하는 차량,L4,faded illegible construction sign|worn text on warning sign|construction warning sign|work zone sign|sign|warning,1
209,고정 풀려 기울어진 공사 안내판,L3,안내판 시인성 저하로 늦게 반응하는 차량,L4,loose tilted construction sign|unstable warning sign mount|construction warning sign|work zone sign|sign|warning,1
210,파손된 채 방치된 공사 예고판,L3,예고 기능 상실로 급정지하는 차량,L4,neglected damaged work zone sign|abandoned broken warning sign|construction warning sign|work zone sign|sign|warning,1
211,쓰러진 라바콘 열,L3,경계 사라진 공사 구간,L1,fallen row of traffic cones|toppled safety cones|traffic cone|safety cone|cone,1
212,반사띠 벗겨진 라바콘,L3,야간 식별 안 되는 경계 구간,L1,traffic cone with peeling reflective tape|worn cone reflector|traffic cone|safety cone|cone,1
213,간격 벌어진 라바콘 대열,L3,경계 불연속한 공사 구간,L1,irregularly spaced traffic cones|gapped cone line|traffic cone|safety cone|cone,1
214,바람에 흩어진 라바콘,L3,경계 흐트러진 공사 구간,L1,traffic cones scattered by wind|wind blown safety cones|traffic cone|safety cone|cone,1
215,야간 미식별 라바콘,L3,야간 경계 불명확한 구간,L1,traffic cone hard to see at night|poor night visibility cone|traffic cone|safety cone|cone,1
216,색 바랜 안전 고깔,L3,시인성 낮은 경계 구간,L1,faded safety cone|discolored traffic cone|traffic cone|safety cone|cone,1
217,무게추 없는 흔들리는 라바콘,L3,불안정한 경계 표시 구간,L1,unweighted wobbling traffic cone|unstable safety cone|traffic cone|safety cone|cone,1
218,차선 밖으로 밀려난 라바콘,L3,경계 위치 어긋난 구간,L1,traffic cone pushed out of line|displaced safety cone|traffic cone|safety cone|cone,1
219,일부 결번된 라바콘 라인,L3,틈새 있는 경계 구간,L1,missing cone in the line|gap in traffic cone row|traffic cone|safety cone|cone,1
220,파손된 안전 고깔 상단,L3,식별 어려운 경계 구간,L1,traffic cone with broken tip|damaged safety cone top|traffic cone|safety cone|cone,1
221,고정 안 된 이동식 안전펜스,L3,펜스 틈으로 무단진입하는 보행자,L4,unsecured mobile safety fence|unanchored temporary fence|temporary fence|temporary barrier|fence|barrier,1
222,연결부 벌어진 임시 방호벽,L3,틈새로 차도 진입하는 보행자,L4,temporary barrier with gapped joint|disconnected barrier segment|temporary fence|temporary barrier|fence|barrier,1
223,바람에 넘어진 공사 펜스,L3,개방 구역으로 진입하는 보행자,L4,construction fence knocked down by wind|wind toppled work zone fence|temporary fence|temporary barrier|fence|barrier,1
224,틈이 생긴 임시 차단벽,L3,틈새로 통과하는 보행자,L4,temporary barrier with gap|opening in construction barrier|temporary fence|temporary barrier|fence|barrier,1
225,바퀴 고정 안 된 이동식 펜스,L3,밀려서 생긴 틈으로 통과하는 보행자,L4,mobile fence with unlocked wheels|unstable rolling barrier|temporary fence|temporary barrier|fence|barrier,1
226,찢어진 임시 방음막,L3,개구부로 무단진입하는 보행자,L4,torn temporary sound barrier|ripped construction screen|temporary fence|temporary barrier|fence|barrier,1
227,기울어진 PE 물통 방호벽,L3,넘어간 방호벽 넘는 보행자,L4,tilted water-filled barrier|leaning plastic barrier|temporary fence|temporary barrier|fence|barrier,1
228,연결핀 빠진 임시 가드레일,L3,분리된 구간으로 진입하는 차량,L4,temporary guardrail missing connector pin|disconnected temporary rail|temporary fence|temporary barrier|fence|barrier,1
229,높이 낮은 임시 안전펜스,L3,쉽게 넘어 진입하는 보행자,L4,low height temporary safety fence|insufficient barrier height|temporary fence|temporary barrier|fence|barrier,1
230,색이 바래 눈에 안 띄는 임시펜스,L3,존재 인지 못하고 부딪히는 보행자,L4,faded hard to notice temporary fence|discolored construction barrier|temporary fence|temporary barrier|fence|barrier,1
231,들뜬 복공판 이음매,L3,복공판 이음매 충격 피해 급조향하는 차량,L4,lifted steel plate joint|raised road plate seam|steel road plate|temporary steel plate|plate,1
232,미끄러운 철판 노면,L3,철판 노면에서 제동 미끄러지는 이륜차,L4,slippery steel road plate|slick temporary plate surface|steel road plate|temporary steel plate|plate,1
233,소음 나는 헐거운 복공판,L3,복공판 소음에 놀라는 운전자,L4,noisy loose steel plate|rattling road plate|steel road plate|temporary steel plate|plate,1
234,단차 생긴 복공판 경계,L3,이음매 단차에 덜컹이며 흔들리는 차량,L4,steel plate with height step|uneven road plate edge|steel road plate|temporary steel plate|plate,1
235,고정 볼트 빠진 복공판,L3,들썩임에 놀라 급제동하는 차량,L4,steel plate missing bolt|unsecured road plate|steel road plate|temporary steel plate|plate,1
236,비 오면 미끄러운 철판 덮개,L3,우천 시 미끄러지는 이륜차,L4,steel plate slippery when wet|rain slick metal cover|steel road plate|temporary steel plate|plate,1
237,갈라진 복공판 모서리,L3,모서리 피해 급조향하는 이륜차,L4,cracked steel plate corner|fractured road plate edge|steel road plate|temporary steel plate|plate,1
238,녹슨 철판 노면 이음부,L3,마찰력 저하로 미끄러지는 차량,L4,rusted steel plate joint|corroded road plate seam|steel road plate|temporary steel plate|plate,1
239,불규칙하게 겹친 복공판,L3,요철에 흔들리는 차량,L4,unevenly overlapped steel plates|misaligned road plates|steel road plate|temporary steel plate|plate,1
240,가장자리 마감 안 된 철판 덮개,L3,걸림에 놀라 급제동하는 이륜차,L4,steel plate with unfinished edge|rough edged road plate|steel road plate|temporary steel plate|plate,1
241,공사 구간 임시 차선 표시 혼동,L3,차로 착각하고 진입하는 차량,L4,confusing temporary lane marking in work zone|misleading construction lane line|temporary lane marking|temporary guide line|lane|line,1
242,반사도료 없는 임시 유도선,L3,야간 유도선 놓치는 차량,L4,temporary guide line without reflective paint|non-reflective temporary lane marking|temporary lane marking|temporary guide line|lane|line,1
243,겹쳐진 임시 차선 표시,L3,차로 위치 혼동하는 차량,L4,overlapping temporary lane markings|double painted construction lane line|temporary lane marking|temporary guide line|lane|line,1
244,지워지다 만 임시 차선,L3,기존 차선과 혼동하는 차량,L4,partially erased temporary lane marking|half faded construction lane line|temporary lane marking|temporary guide line|lane|line,1
245,공사 전후 차선 연결 불일치,L3,급차선변경하는 차량,L4,misaligned lane connection before and after work zone|discontinuous construction lane marking|temporary lane marking|temporary guide line|lane|line,1
246,야간 식별 어려운 임시 유도선,L3,야간에 경로 이탈하는 차량,L4,temporary guide line hard to see at night|poor night visibility lane marking|temporary lane marking|temporary guide line|lane|line,1
247,빗물에 씻긴 임시 차선 테이프,L3,우천 시 차로 놓치는 차량,L4,temporary lane tape washed away by rain|rain worn construction lane marking|temporary lane marking|temporary guide line|lane|line,1
248,방향 혼란 유발하는 임시 유도선,L3,반대 차로로 진입하는 차량,L4,confusing directional temporary guide line|misleading temporary lane arrow|temporary lane marking|temporary guide line|lane|line,1
249,접착 불량으로 벗겨진 임시 차선,L3,차선 오인하고 주행하는 차량,L4,peeling temporary lane tape|poorly adhered construction lane marking|temporary lane marking|temporary guide line|lane|line,1
250,좁아진 임시 차로 폭 표시 부족,L3,인접 차량과 근접 주행하는 차량,L4,narrowed temporary lane without width marking|unmarked lane narrowing in work zone|temporary lane marking|temporary guide line|lane|line,1
251,메우지 않은 굴착 구멍,L3,함몰 위험 있는 노면,L1,unfilled excavation hole|open dig site|excavation site|buried utility work|excavation|trench,1
252,안전펜스 없는 개착 구간,L3,경계 없는 굴착 구간,L1,open-cut excavation without safety fence|unfenced trench site|excavation site|buried utility work|excavation|trench,1
253,덮개 없이 노출된 매설 배관,L3,돌출물 있는 노면,L1,exposed buried pipe without cover|uncovered utility pipe|excavation site|buried utility work|excavation|trench,1
254,방치된 굴착 토사더미,L3,폭 좁아진 주행 구간,L1,neglected excavation soil pile|abandoned dirt mound from digging|excavation site|buried utility work|excavation|trench,1
255,표시 없는 임시 되메움 구간,L3,단차 있는 노면,L1,unmarked temporary backfill area|unsigned refilled excavation|excavation site|buried utility work|excavation|trench,1
256,침하 우려 있는 되메움 노면,L3,불안정한 노면 구간,L1,backfilled road surface prone to sinking|unstable refilled pavement|excavation site|buried utility work|excavation|trench,1
257,굴착 경계 표시 없는 구간,L3,경계 불명확한 노면,L1,excavation area without boundary marking|unmarked dig site edge|excavation site|buried utility work|excavation|trench,1
258,흙더미 남은 매설 공사 현장,L3,미끄러운 흙 노출 구간,L1,dirt pile left at utility work site|leftover soil at burial construction site|excavation site|buried utility work|excavation|trench,1
259,정리 안 된 배관 자재,L3,장애물 있는 노면 구간,L1,uncleared pipe materials|leftover piping equipment|excavation site|buried utility work|excavation|trench,1
260,지반 다짐 부족한 매설 구간,L3,침하 우려 있는 노면,L1,poorly compacted buried utility section|under-compacted excavation backfill|excavation site|buried utility work|excavation|trench,1
261,차선 침범한 공사 자재더미,L3,자재 피해 급차선변경하는 차량,L4,construction material pile encroaching on lane|materials blocking traffic lane|construction material pile|stacked materials|materials|debris,1
262,비닐 벗겨진 방치 자재,L3,낙하물 피해 급조향하는 차량,L4,neglected materials with torn covering|uncovered abandoned construction supplies|construction material pile|stacked materials|materials|debris,1
263,고정 안 된 적치 파이프,L3,굴러오는 파이프 피하는 차량,L4,unsecured stacked pipes|unfastened piled pipes|construction material pile|stacked materials|materials|debris,1
264,야간 반사물 없는 자재더미,L3,야간에 충돌 위험 겪는 차량,L4,material pile without night reflector|unmarked debris pile at night|construction material pile|stacked materials|materials|debris,1
265,인도 점유한 건축 자재,L3,차도로 우회하는 보행자,L4,building materials occupying sidewalk|construction supplies blocking footpath|construction material pile|stacked materials|materials|debris,1
266,바람에 날릴 위험 있는 경량 자재,L3,날아온 자재 피하는 차량,L4,lightweight materials at risk of blowing away|unsecured light construction debris|construction material pile|stacked materials|materials|debris,1
267,쌓다 만 벽돌더미,L3,붕괴 위험 피해 우회하는 보행자,L4,partially stacked brick pile|unfinished brick stack|construction material pile|stacked materials|materials|debris,1
268,방치된 철근 다발,L3,돌출 자재 피해 급조향하는 차량,L4,neglected bundle of rebar|abandoned steel reinforcement bars|construction material pile|stacked materials|materials|debris,1
269,좁은 갓길 점유한 자재차,L3,근접 추월하는 차량,L4,material truck occupying narrow shoulder|supply vehicle blocking road shoulder|construction material pile|stacked materials|materials|debris,1
270,정리 안 된 폐자재 더미,L3,폐자재 더미 피해 급제동하는 차량,L4,uncleared construction waste pile|leftover demolition debris|construction material pile|stacked materials|materials|debris,1
271,꺼진 공사 구간 점멸등,L3,조도 낮은 야간 구간,L5,work zone flashing light off|unlit construction beacon|temporary work light|warning beacon|light|beacon,1
272,배터리 방전된 임시 경광등,L3,경고등 없는 어두운 구간,L5,dead battery temporary warning light|depleted construction beacon|temporary work light|warning beacon|light|beacon,1
273,방향 잘못된 야간 유도등,L3,시야 혼란 있는 어두운 구간,L5,misdirected night guide light|wrongly aimed work zone light|temporary work light|warning beacon|light|beacon,1
274,파손된 이동식 조명탑,L3,조명 부족한 구간,L5,damaged mobile light tower|broken portable work light|temporary work light|warning beacon|light|beacon,1
275,점멸 주기 불규칙한 경고등,L3,불안정 조명 있는 야간 구간,L5,irregularly flashing warning light|inconsistent beacon flash rate|temporary work light|warning beacon|light|beacon,1
276,가려진 공사 구간 경광등,L3,경고 시인성 낮은 야간 구간,L5,obscured construction warning light|blocked work zone beacon|temporary work light|warning beacon|light|beacon,1
277,전선 끊어진 임시 조명,L3,무조명 야간 구간,L5,temporary light with severed wire|disconnected work zone lamp|temporary work light|warning beacon|light|beacon,1
278,흐려진 야간 반사 표지등,L3,표지 인지 어려운 야간 구간,L5,dimmed night reflective marker light|faded construction reflector light|temporary work light|warning beacon|light|beacon,1
279,일부 꺼진 공사 구간 조명열,L3,부분적으로 어두운 구간,L5,partially unlit work zone light row|some lights off in construction lighting line|temporary work light|warning beacon|light|beacon,1
280,젖어서 오작동하는 임시 경광등,L3,우천 시 조도 낮은 구간,L5,malfunctioning wet warning beacon|water damaged construction light|temporary work light|warning beacon|light|beacon,1
281,표시 애매한 우회로 안내판,L3,경로 착각하고 직진하는 차량,L4,ambiguous detour sign|unclear detour guidance|detour sign|detour guidance|detour,1
282,연속성 끊긴 우회 안내 표지,L3,우회로 이탈하는 차량,L4,discontinuous detour signage|detour sign sequence broken|detour sign|detour guidance|detour,1
283,철거 안 된 옛 우회 안내판,L3,종료된 우회 경로로 잘못 진행하는 차량,L4,outdated detour sign not removed|leftover old detour marker|detour sign|detour guidance|detour,1
284,방향 화살표 마모된 우회 표지,L3,방향 오판하고 진행하는 차량,L4,detour sign with worn direction arrow|faded detour arrow marking|detour sign|detour guidance|detour,1
285,조명 없는 야간 우회로 입구,L3,입구 놓치고 직진하는 차량,L4,unlit night detour entrance|dark detour route entry|detour sign|detour guidance|detour,1
286,막다른 길로 이어지는 잘못된 우회 안내,L3,후진하며 역주행하는 차량,L4,detour sign leading to dead end|incorrect detour route guidance|detour sign|detour guidance|detour,1
287,겹쳐진 신구 우회 안내판,L3,경로 혼동하는 차량,L4,overlapping old and new detour signs|conflicting detour signage|detour sign|detour guidance|detour,1
288,크기 작아 안 보이는 우회 표지,L3,표지 놓치고 직진하는 차량,L4,undersized hard to see detour sign|small illegible detour marker|detour sign|detour guidance|detour,1
289,일부 구간 안내 누락된 우회로,L3,경로 중간에 헤매는 차량,L4,detour route missing signage in section|incomplete detour guidance|detour sign|detour guidance|detour,1
290,바람에 돌아간 우회 안내판,L3,잘못된 방향으로 진행하는 차량,L4,detour sign turned by wind|misaligned rotated detour marker|detour sign|detour guidance|detour,1
291,공사 여파로 침하된 노면,L3,공사 여파로 침하되어 단차 생긴 노면,L1,road surface sunken from construction|pavement settlement due to work|sunken road from construction|settled pavement|subsidence|sinkhole,1
292,되메움 부실로 꺼진 도로,L3,함몰된 노면,L1,road caved in from poor backfill|sunken pavement from inadequate refill|sunken road from construction|settled pavement|subsidence|sinkhole,1
293,지하 매설물 공사 후 생긴 단차,L3,매설공사 후 생긴 단차 노면,L1,pavement step from underground utility work|height difference after burial construction|sunken road from construction|settled pavement|subsidence|sinkhole,1
294,장비 하중으로 눌린 임시 노면,L3,눌려 변형된 노면,L1,temporary pavement compressed by heavy equipment|road surface deformed by machinery load|sunken road from construction|settled pavement|subsidence|sinkhole,1
295,배수 불량으로 물웅덩이 생긴 공사 구간,L3,물웅덩이로 침수된 공사 구간 노면,L1,work zone puddle from poor drainage|flooded construction site|sunken road from construction|settled pavement|subsidence|sinkhole,1
296,다짐 부족으로 가라앉은 되메움부,L3,불균일하게 가라앉은 노면,L1,sunken backfill from insufficient compaction|settled refilled section|sunken road from construction|settled pavement|subsidence|sinkhole,1
297,반복 침하로 굴곡진 임시 포장,L3,굴곡진 노면,L1,undulating temporary pavement from repeated settling|wavy road surface from subsidence|sunken road from construction|settled pavement|subsidence|sinkhole,1
298,비 온 뒤 꺼진 공사 구간 노면,L3,젖고 꺼진 노면,L1,work zone pavement sunken after rain|post-rain road settlement in construction area|sunken road from construction|settled pavement|subsidence|sinkhole,1
299,경계석과 단차 생긴 침하 구간,L3,경계 단차 있는 노면,L1,sunken section with curb height difference|settled road edge near curb|sunken road from construction|settled pavement|subsidence|sinkhole,1
300,표시 없는 국부 침하 지점,L3,국부적으로 꺼진 노면,L1,unmarked localized road subsidence|unsigned sunken pavement spot|sunken road from construction|settled pavement|subsidence|sinkhole,1
301,자리 비운 공사 구간 신호수,L3,통제 없이 진입하는 차량,L4,absent construction zone flagger|unattended traffic controller post|temporary flagger|traffic controller|flagger,1
302,시인성 낮은 신호수 복장,L3,신호수 못 보고 진입하는 차량,L4,flagger with low visibility clothing|poorly visible traffic controller uniform|temporary flagger|traffic controller|flagger,1
303,수신호 혼동 유발하는 신호수 위치,L3,지시 오인하는 차량,L4,flagger positioned confusingly|traffic controller in misleading location|temporary flagger|traffic controller|flagger,1
304,야간 반사조끼 없는 신호수,L3,야간에 신호수 놓치는 차량,L4,flagger without night reflective vest|traffic controller missing reflective gear|temporary flagger|traffic controller|flagger,1
305,방향 지시 불명확한 수신호,L3,지시 오인하고 진행하는 차량,L4,ambiguous hand signal direction|unclear flagger gesture|temporary flagger|traffic controller|flagger,1
306,신호수 없는 무인 차로 통제 구간,L3,임의로 통과하는 차량,L4,unmanned lane control zone without flagger|lane closure without traffic controller|temporary flagger|traffic controller|flagger,1
307,휴대 신호봉 파손된 신호수,L3,지시 인지 못하는 차량,L4,flagger with broken signal paddle|traffic controller with damaged sign paddle|temporary flagger|traffic controller|flagger,1
308,신호수와 표지판 지시 불일치 구간,L3,어느 쪽 따를지 혼란스러운 차량,L4,conflicting flagger and sign instructions|mismatched controller and signage directions|temporary flagger|traffic controller|flagger,1
309,시야 확보 안 된 위치의 신호수,L3,신호수 늦게 발견하는 차량,L4,flagger positioned with poor visibility|traffic controller in obstructed sightline|temporary flagger|traffic controller|flagger,1
310,교대 공백으로 비어있는 신호수 자리,L3,통제 없이 진입하는 이륜차,L4,vacant flagger post during shift change|unattended traffic controller station|temporary flagger|traffic controller|flagger,1
311,복구 중 방치된 누수 구간,L3,미끄러운 젖은 노면,L1,neglected water leak site under repair|unattended leak during restoration|water leak at construction site|flooded work zone|leak|puddle,1
312,임시 배수관 넘쳐 생긴 물웅덩이,L3,침수된 노면,L1,puddle from overflowing temporary drain pipe|flooding from overflowed temp drainage|water leak at construction site|flooded work zone|leak|puddle,1
313,공사로 막힌 빗물받이,L3,물 고인 노면,L1,storm drain blocked by construction|clogged rain gutter from work zone|water leak at construction site|flooded work zone|leak|puddle,1
314,배수 호스 가로지른 차로,L3,돌출 장애물 있는 노면,L1,drainage hose crossing traffic lane|drain pipe laid across roadway|water leak at construction site|flooded work zone|leak|puddle,1
315,누수로 미끄러워진 공사 구간 노면,L3,미끄러운 노면,L1,work zone pavement slippery from leak|slick construction surface from water leak|water leak at construction site|flooded work zone|leak|puddle,1
316,임시 펌프 배수 호스 방치,L3,장애물 있는 노면,L1,neglected temporary pump drain hose|abandoned dewatering hose|water leak at construction site|flooded work zone|leak|puddle,1
317,막힌 임시 배수로,L3,침수 위험 있는 노면,L1,clogged temporary drainage channel|blocked temporary ditch|water leak at construction site|flooded work zone|leak|puddle,1
318,공사 여파로 역류하는 빗물받이,L3,오염된 젖은 노면,L1,storm drain backing up from construction|reverse flow gutter due to work zone|water leak at construction site|flooded work zone|leak|puddle,1
319,정비 중 열린 채 방치된 배수구,L3,배수구 열린 채 함몰 위험 있는 노면,L1,drain left open during maintenance|unattended open drainage grate|water leak at construction site|flooded work zone|leak|puddle,1
320,배수 불량으로 침수된 굴착 구간,L3,침수된 노면 구간,L1,flooded excavation site from poor drainage|waterlogged dig site|water leak at construction site|flooded work zone|leak|puddle,1
321,전지 작업 후 방치된 나뭇가지,L3,가지 피해 급조향하는 차량,L4,tree branches left after pruning|neglected trimmed branches|tree trimming debris|landscaping work remnant|branch|debris,1
322,시야 가리는 조경 작업 자재,L3,시야 확보 못한 채 진입하는 차량,L4,landscaping equipment blocking sightline|gardening materials obstructing view|tree trimming debris|landscaping work remnant|branch|debris,1
323,뿌리 제거 구간의 패인 노면,L3,패인 곳 피해 급조향하는 이륜차,L4,sunken road from root removal|depressed pavement at root excavation|tree trimming debris|landscaping work remnant|branch|debris,1
324,작업 중 쓰러진 조경수,L3,나무 피해 급제동하는 차량,L4,fallen tree during landscaping work|toppled ornamental tree|tree trimming debris|landscaping work remnant|branch|debris,1
325,정리 안 된 낙엽 더미,L3,낙엽에 미끄러지는 이륜차,L4,uncleared pile of fallen leaves|leftover leaf debris|tree trimming debris|landscaping work remnant|branch|debris,1
326,조경 공사 표시 없는 통제 구간,L3,예고 없이 진입하는 차량,L4,unmarked landscaping work control zone|unsigned gardening work area|tree trimming debris|landscaping work remnant|branch|debris,1
327,가지치기 장비 방치된 갓길,L3,장비 피해 급차선변경하는 차량,L4,pruning equipment left on road shoulder|abandoned trimming tools on shoulder|tree trimming debris|landscaping work remnant|branch|debris,1
328,이식 대기 중인 나무로 좁아진 인도,L3,이식 대기목 피해 차도로 내려서는 보행자,L4,sidewalk narrowed by tree awaiting transplant|footpath blocked by relocated tree|tree trimming debris|landscaping work remnant|branch|debris,1
329,조경 작업 후 고르지 않은 노면,L3,흔들리며 서행하는 차량,L4,uneven pavement after landscaping work|rough surface from gardening work|tree trimming debris|landscaping work remnant|branch|debris,1
330,물뿌리개 호스 가로지른 인도,L3,호스에 걸려 넘어지는 보행자,L4,watering hose crossing sidewalk|sprinkler hose blocking footpath|tree trimming debris|landscaping work remnant|branch|debris,1
331,인도 점유한 이동식 노점,L3,노점 피해 차도로 내려서는 보행자,L4,mobile street stall occupying sidewalk|vendor cart blocking footpath|street vendor stall|temporary banner|stall|banner,1
332,시야 가리는 대형 현수막,L3,가려졌다 갑자기 나타나는 보행자,L4,large banner blocking view|oversized sign obstructing sightline|street vendor stall|temporary banner|stall|banner,1
333,차선까지 침범한 노점 매대,L3,매대 피해 급차선변경하는 차량,L4,vendor stall encroaching on traffic lane|street stall blocking road lane|street vendor stall|temporary banner|stall|banner,1
334,바람에 흔들리는 임시 배너,L3,배너에 놀라는 운전자,L4,temporary banner swaying in wind|wind blown advertising banner|street vendor stall|temporary banner|stall|banner,1
335,고정 안 된 이동식 광고판,L3,넘어진 광고판 피하는 차량,L4,unsecured mobile advertising board|unanchored portable sign|street vendor stall|temporary banner|stall|banner,1
336,통행로 좁히는 노점 파라솔,L3,차도로 밀려나는 보행자,L4,vendor umbrella narrowing walkway|street stall parasol blocking path|street vendor stall|temporary banner|stall|banner,1
337,끈 풀려 늘어진 현수막,L3,시야 가려 급정지하는 차량,L4,banner sagging with loose string|drooping advertising banner|street vendor stall|temporary banner|stall|banner,1
338,보도 폭 줄이는 이동식 진열대,L3,차도 가장자리로 밀려나는 보행자,L4,mobile display rack narrowing sidewalk|vendor display reducing footpath width|street vendor stall|temporary banner|stall|banner,1
339,시야 방해하는 임시 입간판,L3,가려진 보행자 뒤늦게 발견하는 차량,L4,temporary sign board obstructing view|sandwich board blocking sightline|street vendor stall|temporary banner|stall|banner,1
340,바닥에 고정 안 된 이동식 화분,L3,화분 피해 급조향하는 차량,L4,unsecured mobile planter box|unanchored portable flower pot|street vendor stall|temporary banner|stall|banner,1
